mail;phishing
"re : benefits for terminated employees we ' ve sorted this . they ' ll get packages in next couple of days . distributions from savings plan may take a while . david - - - - - original message - - - - - from : kitchen , louise sent : thursday , december 06 , 2001 8 : 32 pm to : oxley , david subject : fw : benefits for terminated employees importance : high seems like a logical request . tell me 90 days is not serious ? ? - - - - - original message - - - - - from : dinari , sabra l . sent : thursday , december 06 , 2001 2 : 48 pm to : hall , bob m ; kitchen , louise ; lavorato , john ; black , don ; dietrich , janet subject : benefits for terminated employees importance : high hi all , i just got off the phone with the benefits center and they are informing people that it could take up to 90 days for them to send "" termination packages "" out to these employees and then you can send in your forms and it will take another 30 days to get a check , specifically talking about the cash balance plan money . this all happens after they get a notice that you are terminated which they usually process on the lst . . . . come on , what is up with this ? ? ? it could very well take up to 5 months for people to get a check in their hands ? that is not right . since all of you have a lot more clout than me or any of the terminated employees , i ' m hoping that someone will take this up with human resources or whomever to get this form downloadable or something to speed up this process . thanks . sabra dinari";True
"help : teaching stress in intro phonetics does anybody have any hints on how to help undergrads in an introductory phonetics class learn to hear lexical stress ( that is , to identify the syllable in a word that receives primary stress ) , particulary in ameng ? the two "" helps "" i know are 1 ) say the word several times , over-emphasizing one syllable at a time ( i ' ve just done this by example , using extreme f0 & intensity variation ) . one production should sound reasonably normal and the rest should sound pretty odd ; or 2 ) tap your finger as you say the word ; folks usually tap on the stressed syllable . while most students i ' ve had seem to grasp this fairly quickly , i still have a few who , after numerous examples , look at me as if i ' m being utterly mystical . some of these are non-native speakers of english , but not all . i realize that this question calls up all sorts of issues on the nature of stress and its perception , but before one can address those at all it 's necessary to introduce the concept somehow , and so far my experience has been that introductory discussions of stress in phonetics texts ultimately assume that speakers can pretty reliably "" hear stress "" once the phenomenon is pointed out to them - - that is , that there 's something intuitively obvious about the notion of a stressed syllable . but what about those students / speakers who apparently find nothing intuitive about it ? thanks laura l . koenig ( koenig @ haskins . yale . edu )";True
"Let's say you're behind a firewall and have a NAT address.
Is there any way to telnet to a linux box out there in the world
and set your DISPLAY in some way that you can create
xterms on your own screen?- Joe-- 
That girl became the spring wind
She flew somewhere, far away
Undoing her hair, lying down, in her sleep
She becomes the wind.
";True
karthik rajan - interview schedule attached you will find the interview packet for the above - referenced person . the interview will happen friday , march 30 , 2001 . please print all three documents for your hard copies . if you have any questions , or conflicts of schedule , please do not hesitate to contact me . sasha divelbiss 58714;True
"Halloechen!On Dienstag, 27. August 2002 05:41 schrieben Sie:
> [Question about require tag]Oops, sorry.  Now I found out that there is a noewsgroup ...
:-)Tschoe,
Torsten._______________________________________________
RPM-List mailing list 
http://lists.freshrpms.net/mailman/listinfo/rpm-list";True
global risk management operations congratulations ! i am very pleased for your continued success in the company and i look forward to hearing more about your new responsibilities . - - - - - - - - - - - - - - - - - - - - - - forwarded by sheila tweed / hou / ect on 01 / 17 / 2000 06 : 21 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : rick causey @ enron 01 / 17 / 2000 06 : 04 pm sent by : enron announcements @ enron to : all enron worldwide cc : subject : global risk management operations recognizing enron  , s increasing worldwide presence in the wholesale energy business and the need to insure outstanding internal controls for all of our risk management activities , regardless of location , a global risk management operations function has been created under the direction of sally w . beck , vice president . in this role , sally will report to rick causey , executive vice president and chief accounting officer . sally  , s responsibilities with regard to global risk management operations will mirror those of other recently created enron global functions . in this role , sally will work closely with all enron geographic regions and wholesale companies to insure that each entity receives individualized regional support while also focusing on the following global responsibilities : 1 . enhance communication among risk management operations professionals . 2 . assure the proliferation of best operational practices around the globe . 3 . facilitate the allocation of human resources . 4 . provide training for risk management operations personnel . 5 . coordinate user requirements for shared operational systems . 6 . oversee the creation of a global internal control audit plan for risk management activities . 7 . establish procedures for opening new risk management operations offices and create key benchmarks for measuring on - going risk controls . each regional operations team will continue its direct reporting relationship within its business unit , and will collaborate with sally in the delivery of these critical items . the houston - based risk management operations team under sue frusco  , s leadership , which currently supports risk management activities for south america and australia , will also report directly to sally . sally retains her role as vice president of energy operations for enron north america , reporting to the ena office of the chairman . she has been in her current role over energy operations since 1997 , where she manages risk consolidation and reporting , risk management administration , physical product delivery , confirmations and cash management for ena  , s physical commodity trading , energy derivatives trading and financial products trading . sally has been with enron since 1992 , when she joined the company as a manager in global credit . prior to joining enron , sally had four years experience as a commercial banker and spent seven years as a registered securities principal with a regional investment banking firm . she also owned and managed a retail business for several years . please join me in supporting sally in this additional coordination role for global risk management operations .;True
global risk management operations weekly operating report tammie , attached is the global risk management operations update for louise ' s weekly report , week ending february 2 . if you have any questions , please let me know . thanks , brian;True
empty;True
"John Hall spake thusly:
>It has been brought up that a boss no longer marries his secretary.Wot, is she not cute???
Re: Asteroids anyone ?Not another one.
Hmm... the NASA page gives Impact Probability = 3.9e-06.
One in 250000.
What, me worry?
L8r,
  R
http://xent.com/mailman/listinfo/fork
";True
"start date : 1 / 4 / 02 ; hourahead hour : 23 ; start date : 1 / 4 / 02 ; hourahead hour : 23 ; no ancillary schedules awarded . variances detected . variances detected in load schedule . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002010423 . txt - - - - load schedule - - - - $ $ $ variance found in table tblloads . details : ( hour : 23 / preferred : 126 . 40 / final : 126 . 37 ) trans _ type : final load _ id : sdgl mkt _ type : 2 trans _ date : 1 / 4 / 02 sc _ id : enrj";True
re : trading ag prods . vince , just wanted to let you know that i have done some preliminary , high level , research into this commodity and would be glad to share it . please let me know if you would be interested in it . thank you . shalesh ganjoo vince j kaminski @ ect 05 / 01 / 01 10 : 20 am to : shalesh ganjoo / enron communications @ enron communications @ enron cc : elsa piekielniak / corp / enron @ enron subject : re : trading ag prods . shalesh , a good idea . i shall forward it to the ag traders . vince from : shalesh ganjoo @ enron communications on 05 / 01 / 2001 10 : 12 am to : nelson neale / na / enron @ enron cc : vince j kaminski / hou / ect @ ect subject : trading ag prods . nelson , i know you are focusing on agricultural products for trading , so i just wanted to know if we are looking at wool . i know that it ' s traded in australia and new zealand , so we might be able to look into it as well . please let me know . thank you . shalesh ganjoo;True
"
CNET Shopper Newsletter: Electronics Edition
Shopper
											All CNET
											The Web
										Â 
									1
Sony Cyber Shot DSC-F707
2
Canon PowerShot S40
3
Palm m515
4
Palm i705
5
Nikon Coolpix 995
Â 
		All most popular
Live tech help NOW!
April's tech award
1 million open jobs
News.com: Top CIOs 
ZDNet: PeopleSoft 
 Canon PowerShot S330 Elph
											â¢ 2,000,000 pixels
											â¢ 2.5 x digital zoom
											â¢ 3 x optical zoom
											â¢ Built-in flash
											â¢ Just $338Accessorize your camera:
Canon CB-2LS Battery Charger
Canon ACK-500 Power Adapter KitCanon 48 MB CompactFlash Card
Canon 64 MB CompactFlash CardFujifilm FinePix 30i
								â¢ 1,920,000 pixels
								â¢ 5.3 oz
								â¢ Built-in flash
								Â Â Lowest Price: $245Minolta Dimage X
								â¢ Free shipping available
								â¢ 2.1-megapixels, 1.5-in LCD
								â¢ 3 x optical zoom, 2 x digital
								Â Â Starting at: $282Olympus Camedia D-40 Zoom
								â¢ 4.0-megapixel, 1.8-in LCD monitor
								â¢ 2.8x optical/2.5x digital zoom
								â¢ Incl. 16MB SmartMedia card
								Â Â Lowest Price: $447Canon PowerShot A40
								â¢ 2-megapixels, new shooting modes 
								â¢ 2.5x optical/3x digital zoom
								â¢ Professional-level features
								Â Â Lowest Price: $268Casio GV-10
								â¢ 1,200,000 pixels
								â¢ Built-in flash
								â¢ 1.6 in LCD display
								Â Â Lowest Price: $310Kyocera Finecam S4
								â¢ 3,870,000 pixels
								â¢ 2.5 x digital zoom
								â¢ 3 x optical zoom
								Â Â Lowest Price: $524 
Did you know that ChannelOnline enables you to streamline 
your sales process by building quotes and orders online? Simply select a customer you've previously entered into 
ChannelOnline's database and their company information, and
a customized price profile is automatically applied to their
quote. You can add products as you search the product 
database and work on multiple quotes at once as you respond 
to different customer requests throughout the day. Sign up now to streamline your entire buying and selling
chain. Tell me more about ChannelOnline.
Tech Trends
Hardware
Software
Shopping
Downloads
News
Investing
Electronics
Web Building
Help & How-Tos
Internet
Games
Message Boards
CNET TV & Radio
Music CenterThe e-mail address for your subscription isÂ qqqqqqqqqq-cnet-newsletters@spamassassin.taint.org
UnsubscribeÂ |
Â Manage My Subscriptions
Â |Â FAQÂ |
Â AdvertisePrice comparisons |
Product reviews |
Tech news |
Downloads |
All CNET services        Copyright 2002 CNET Networks, Inc. All rights reserved.          ";True
