Username;Group;Permission
rz001;Webentwicklung;Owner
rz001;Appentwicklung;Owner
rz001;Integration;Owner
rz001;Infrastruktur;Owner
rz001;Netzwerk;Owner
rz001;Server;Owner
rz001;Reporting;Owner
rz001;Finanzen;Owner
rz001;Metriken;Owner
rz002;Infrastruktur;Guest
rz002;Server;Maintainer
rz003;Infrastruktur;Guest
rz003;Network;Maintainer
rz004;Infrastruktur;Guest
rz004;Server;Maintainer
rz005;Webentwicklung;Owner
rz005;Appentwicklung;Owner
rz005;Integration;Owner
rz005;Infrastruktur;Owner
rz005;Netzwerk;Owner
rz005;Server;Owner
rz005;Reporting;Owner
rz005;Finanzen;Owner
rz005;Metriken;Owner
rz005;Netzwerk;Owner
dev001;Webentwicklung;Owner
dev001;Appentwicklung;Maintainer
dev001;Integration;Maintainer
dev001;Finanzen;Maintainer
dev001;Metriken;Maintainer
dev002;Appentwicklung;Owner
dev003;Webentwicklung;Owner
dev003;Appentwicklung;Owner
dev003;Integration;Owner
dev003;Reporting;Owner
dev003;Finanzen;Owner
dev003;Metriken;Owner
dev004;Webentwicklung;Owner
dev004;Appentwicklung;Owner
dev004;Integration;Owner
dev004;Reporting;Owner
dev004;Finanzen;Owner
dev004;Metriken;Owner
dev005;Integration;Reporter
dev005;Reporting;Owner
dev005;Finanzen;Owner
dev005;Metriken;Owner
dev006;Webentwicklung;Developer
dev006;Integration;Reporter
dev007;Webentwicklung;Developer
dev007;Integration;Reporter
dev008;Appentwicklung;Developer
dev008;Integration;Reporter
dev009;Appentwicklung;Developer
dev009;Integration;Reporter
dev010;Webentwicklung;Developer
dev010;Integration;Reporter
dev011;Finanzen;Developer
dev011;Integration;Reporter
dev012;Finanzen;Developer
dev012;Integration;Reporter
dev013;Finanzen;Developer
dev013;Integration;Reporter
dev014;Metriken;Developer
dev014;Integration;Reporter
dev015;Metriken;Developer
dev015;Integration;Reporter
dev016;Metriken;Developer
dev016;Integration;Reporter
dev017;Metriken;Developer
dev017;Integration;Reporter
qa001;Webentwicklung;Reporter
qa001;Appentwicklung;Reporter
qa001;Integration;Reporter
qa001;Reporting;Reporter
qa001;Finanzen;Reporter
qa001;Metriken;Reporter
qa002;Webentwicklung;Reporter
qa002;Appentwicklung;Reporter
qa002;Integration;Reporter
qa002;Reporting;Reporter
qa002;Finanzen;Reporter
qa002;Metriken;Reporter
qa003;Webentwicklung;Reporter
qa003;Appentwicklung;Reporter
qa003;Integration;Reporter
qa003;Reporting;Reporter
qa003;Finanzen;Reporter
qa003;Metriken;Reporter
qa004;Webentwicklung;Reporter
qa004;Appentwicklung;Reporter
qa004;Integration;Reporter
qa004;Reporting;Reporter
qa004;Finanzen;Reporter
qa004;Metriken;Reporter
qa005;Webentwicklung;Reporter
qa005;Appentwicklung;Reporter
qa005;Integration;Reporter
qa005;Reporting;Reporter
qa005;Finanzen;Reporter
qa005;Metriken;Reporter
ext001;Appentwicklung;Developer
ext002;Webentwicklung;Reporter
bot001;Webentwicklung;Developer
bot002;Appentwicklung;Developer
bot003;Integration;Developer
bot004;Infrastruktur;Developer
bot005;Reporting;Developer
bot006;Finanzen;Developer
bot007;Metriken;Developer
